at,delay,stddev,min_link_cap,max_link_cap,queue_capacity,hops,dropratio,route
0,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
200000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
400000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
600000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
800000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
1000000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
1200000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
1400000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
1600000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
1800000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
2000000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
2200000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
2400000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
2600000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
2800000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
3000000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
3200000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
3400000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
3600000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
3800000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
4000000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
4200000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
4400000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
4600000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
4800000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
5000000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
5200000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
5400000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
5600000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
5800000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
6000000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
6200000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
6400000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
6600000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
6800000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
7000000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
7200000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
7400000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
7600000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
7800000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
8000000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
8200000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
8400000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
8600000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
8800000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
9000000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
9200000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
9400000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
9600000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
9800000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
10000000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
10200000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
10400000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
10600000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
10800000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
11000000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
11200000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
11400000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
11600000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
11800000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
12000000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
12200000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
12400000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
12600000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
12800000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
13000000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
13200000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
13400000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
13600000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
13800000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
14000000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
14200000,10000,0.00,30000000.00,100000000.00,100,3,0.00,1
